BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,"978-1-932432-45-9","noauthor_session_2009-1","","Session Details: Word Segmentation and POS Tagging","",,,"","--",2009,"Stroudsburg, PA, USA","135 event-place: Suntec, Singapore","http://dl.acm.org/citation.cfm?id=1687878.3252572","Proceedings of the {Joint} {Conference} of the 47th {Annual} {Meeting} of the {ACL} and the 4th {International} {Joint} {Conference} on {Natural} {Language} {Processing} of the {AFNLP}: {Volume} 1 - {Volume} 1","","","{ACL} '09","","Association for Computational Linguistics","","","","","","Session Chair-Ng, Hwee Tou","","","","",""
6,"","ziering_towards_2016","Ziering, P. & Van Der Plas, L.","Towards unsupervised and language-independent compound splitting using inflectional morphological transformations","",,,"","644--653",2016,"","75","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994128765&partnerID=40&md5=5b0b9b0941575eb4aac9f0edfea61654","2016 {Conference} of the {North} {American} {Chapter} of the {Association} for {Computational} {Linguistics}: {Human} {Language} {Technologies}, {NAACL} {HLT} 2016 - {Proceedings} of the {Conference}","","","","","","","","","","","cited By 7","In this paper, we address the task of language-independent, knowledge-lean and unsupervised compound splitting, which is an essential component for many natural language processing tasks such as machine translation. Previous methods on statistical compound splitting either include language-specific knowledge (e.g., linking elements) or rely on parallel data, which results in limited applicability. We aim to overcome these limitations by learning compounding morphology from inflectional information derived from lemmatized monolingual corpora. In experiments for Germanic languages, we show that our approach significantly outperforms language-dependent stateof-the-art methods in finding the correct split point and that word inflection is a good approximation for compounding morphology. ©2016 Association for Computational Linguistics.","","","",""
7,"","zhu_systematic_2019-1","Zhu, Yi; Vulić, Ivan & Korhonen, Anna","A Systematic Study of Leveraging Subword Information for Learning Word Representations","arxiv:1904.07994",,,"","",2019,"","97","http://arxiv.org/abs/1904.07994v2","","","","","","","","","","","","","","","⛔ No DOI found","",""
6,"","zhu_exploration_2014-2","Zhu, L.; Li, H.; Wang, S. & Li, C.","Exploration and development of text knowledge extraction","",,,"","79--83",2014,"","109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900429048&partnerID=40&md5=2427896a84c7d70a080a58e189d138f1","Information {Technology} and {Computer} {Application} {Engineering} - {Proceedings} of the 2013 {International} {Conference} on {Information} {Technology} and {Computer} {Application} {Engineering}, {ITCAE} 2013","","","","","","","","","","","cited By 0","Text knowledge extraction technology has been applied in many fields, but few practices in the field of petroleum exploration and development. In this paper,we comprehensively utilize a statistical and natural language understanding technology to extract knowledge from the articles in the field of petroleum exploration and development. First of all, we get the key words and the core sentences containing article process model. Then after the word segmentation and phrase recognition, we use semantic templates to match and extract semantic information from the key sentences. The experimental results show that this method achieves 70\% accuracy rate in keywords spotting and process model extraction. © 2014 Taylor \& Francis Group, London.","","⛔ No DOI found","",""
7,"","zhang_research_2018-3","Zhang, Z. & Bi, X.","Research and Experiment of Intelligent Natural Language Processing Algorithms","Wireless Personal Communications",102,4,"","2927--2939",2018,"","131","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040677725&doi=10.1007%2fs11277-018-5316-2&partnerID=40&md5=73b8734ca4c3841c9c0e63013dc69c05","","","","","","","","","","","","cited By 0","Natural language processing is mainly divided into two parts: speech processing and word processing. The level of word processing is mainly studied. Natural language processing is divided into lexical analysis, syntax analysis and semantic analysis. Aiming at the scope of the language ambiguity and thesaurus in the field of smart home, the maximal matching algorithm is used to segment the natural language. Then, through the way of template matching, semantic comprehension finally forms the code form that can control the home node. In the system applied in this paper, the speech is processed into words through the existing voice input function of the mobile terminal. Then, the control instruction is obtained through the language processing method. The processed data is communicated to the server via socket. The server sends the data to the home node through the Zigbee protocol. Finally, control of home appliances is achieved. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","","","",""
7,"","zeng_classification-based_2013-2","Zeng, L. & Li, F.","A classification-based approach for implicit feature identification","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",8202 LNAI,,"","190--202",2013,"","90","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893031086&doi=10.1007%2f978-3-642-41491-6_18&partnerID=40&md5=77380a4f99a8805341450d35c070b926","","","","","","","","","","","","cited By 16","In recent years, sentiment analysis and opinion mining has grown to be one of the most active research areas. Most of the existing researches on feature-level opinion mining are dedicated to extract explicitly appeared features and opinion words. However, among the numerous kinds of reviews on the web, there are a significant number of reviews that contain only opinion words which imply some product features. The identification of such implicit features is still one of the most challenge tasks in opinion mining. In this paper, we propose a classification-based approach to deal with the task of implicit feature identification. Firstly, by exploiting the word segmentation, part-of-speech(POS) tagging and dependency parsing, a rule based method to extract the explicit feature-opinion pairs is presented. Secondly, the feature-opinion pairs for each opinion word are clustered and the training documents for each clustered feature-opinion pair are then constructed. Finally, the identification of implicit features is formulated into a classification-based feature selection. Experiments demonstrate that our approach outperforms the existing methods significantly. © Springer-Verlag 2013.","","","",""
7,"","zeman_using_2010","Zeman, D.","Using TectoMT as a preprocessing tool for phrase-based statistical machine translation","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",6231 LNAI,,"","216--223",2010,"","83","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049263442&doi=10.1007%2f978-3-642-15760-8_28&partnerID=40&md5=d8df80e3e3bbfd901f36029213a636fe","","","","","","","","","","","","cited By 0","We present a systematic comparison of preprocessing techniques for two language pairs: English-Czech and English-Hindi. The two target languages, although both belonging to the Indo-European language family, show significant differences in morphology, syntax and word order. We describe how TectoMT, a successful framework for analysis and generation of language, can be used as preprocessor for a phrase-based MT system.We compare the two language pairs and the optimal sets of source-language transformations applied to them. The following transformations are examples of possible preprocessing steps: lemmatization; retokenization, compound splitting; removing/adding words lacking counterparts in the other language; phrase reordering to resemble the target word order; marking syntactic functions. TectoMT, as well as all other tools and data sets we use, are freely available on the Web. © 2010 Springer-Verlag Berlin Heidelberg.","","","",""
7,"","yang_neural_2017-1","Yang, Jie; Zhang, Yue & Dong, Fei","Neural Word Segmentation with Rich Pretraining","arxiv:1704.08960",,,"","",2017,"","128","http://arxiv.org/abs/1704.08960v1","","","","","","","","","","","","","","","⛔ No DOI found","",""
7,"","xia_word_2016-1","Xia, Qingrong; Li, Zhenghua; Chao, Jiayuan & Zhang, Min","Word Segmentation on Micro-blog Texts with External Lexicon and Heterogeneous Data","arxiv:1608.01448",,,"","",2016,"","152","http://arxiv.org/abs/1608.01448v2","","","","","","","","","","","","","","","⛔ No DOI found","",""
6,"","wu_sembler_2012-2","Wu, X.; Fan, W. & Yu, Y.","Sembler: Ensembling crowd sequential labeling for improved quality","",2,,"","1713--1719",2012,"","133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868274778&partnerID=40&md5=056a981811f122859f050ce2dfaa4ab1","Proceedings of the {National} {Conference} on {Artificial} {Intelligence}","","","","","","","","","","","cited By 7","Many natural language processing tasks, such as named entity recognition (NER), part of speech (POS) tagging, word segmentation, and etc., can be formulated as sequential data labeling problems. Building a sound labeler requires very large number of correctly labeled training examples, which may not always be possible. On the other hand, crowdsourcing provides an inexpensive yet efficient alternative to collect manual sequential labeling from non-experts. However the quality of crowd labeling cannot be guaranteed, and three kinds of errors are typical: (1) incorrect annotations due to lack of expertise (e.g., labeling gene names from plain text requires corresponding domain knowledge); (2) ignored or omitted annotations due to carelessness or low confidence; (3) noisy annotations due to cheating or vandalism. To correct these mistakes, we present Sembler, a statistical model for ensembling crowd sequential labelings. Sembler considers three types of statistical information: (1) the majority agreement that proves the correctness of an annotation; (2) correct annotation that improves the credibility of the corresponding annotator; (3) correct annotation that enhances the correctness of other annotations which share similar linguistic or contextual features. We evaluate the proposed model on a real Twitter and a synthetical biological data set, and find that Sembler is particularly accurate when more than half of annotators make mistakes. Copyright © 2012, Association for the Advancement of Artificial Intelligence. All rights reserved.","","⛔ No DOI found","",""
7,"","wolk_real-time_2014","Wołk, K. & Marasek, K.","Real-time statistical speech translation","Advances in Intelligent Systems and Computing",275 AISC,VOLUME 1,"","107--113",2014,"","55","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904602811&doi=10.1007%2f978-3-319-05951-8_11&partnerID=40&md5=d9d3d16efc7102d26081575e8d464b8b","","","","","","","","","","","","cited By 8","This research investigates the Statistical Machine Translation approaches to translate speech in real time automatically. Such systems can be used in a pipeline with speech recognition and synthesis software in order to produce a real-time voice communication system between foreigners. We obtained three main data sets from spoken proceedings that represent three different types of human speech. TED, Europarl, and OPUS parallel text corpora were used as the basis for training of language models, for developmental tuning and testing of the translation system. We also conducted experiments involving part of speech tagging, compound splitting, linear language model interpolation, TrueCasing and morphosyntactic analysis. We evaluated the effects of variety of data preparations on the translation results using the BLEU, NIST, METEOR and TER metrics and tried to give answer which metric is most suitable for PL-EN language pair. © Springer International Publishing Switzerland 2014.","","","",""
7,"","williams_is_2017-1","Williams, Jake Ryland & Santia, Giovanni C.","Is space a word, too?","arxiv:1710.07729",,,"","",2017,"","117","http://arxiv.org/abs/1710.07729v1","","","","","","","","","","","","","","","⛔ No DOI found","",""
6,"","weller-di_marco_simple_2017","Weller-Di Marco, Marion","Simple compound splitting for German","",,,"","161--166",2017,"","61","","Proceedings of the 13th {Workshop} on {Multiword} {Expressions} ({MWE} 2017)","","","","","","","","","","","","","","","",""
6,"","weller_distinguishing_2014","Weller, Marion; Cap, Fabienne; Müller, Stefan; im Walde, Sabine Schulte & Fraser, Alexander","Distinguishing degrees of compositionality in compound splitting for statistical machine translation","",,,"","81--90",2014,"","26","","Proceedings of the {First} {Workshop} on {Computational} {Approaches} to {Compound} {Analysis} ({ComAComA} 2014)","","","","","","","","","","","","","","","",""
6,"","weber_base-form_2010-2","Weber, C. & Handl, J.","A base-form lexicon of content words for correct word segmentation and syntactic-semantic annotation","",,,"","",2010,"","89","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894110931&partnerID=40&md5=f6254b4cf0ee2665f59a6be8a53db773","Semantic {Approaches} in {Natural} {Language} {Processing} - {Proceedings} of the {Conference} on {Natural} {Language} {Processing} 2010, {KONVENS}","","","","","","","","","","","cited By 0","One issue in natural language processing is the interaction between a rule-based computational morphology and a syntactic-semantic analysis system. This is because derivational and compound word forms raise the question of how to deal with ambiguities caused by the rule-based analyser, and how to add additional information like valency to a derivational or compound word form if its valency frames differ from those of its root word. In this paper we propose a lexicon design addressing both of these issues. We evaluate our design in the context of a large-scale morphological analysis system for German in which the lexicon serves as an interface between morphology and syntax. In doing so, we aim at enriching the wellformed analysis results with additional information so that an adequate syntactic-semantic analysis can be ensured.","","⛔ No DOI found","",""
7,"","wang_altas_2018-2","Wang, X.; Gao, C.; Cao, J.; Lin, K.; Du, W. & Yang, Z.","ALTAS: An intelligent text analysis system based on knowledge graphs","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",10987 LNCS,,"","466--470",2018,"","99","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050537718&doi=10.1007%2f978-3-319-96890-2_40&partnerID=40&md5=671150c35b5218bda2fe429115d446d7","","","","","","","","","","","","cited By 0","This paper presents an intelligent text analysis system, called ALTAS, to support various text analysis tasks such as statistics analysis, sentiment analysis, text classification, and text clustering. The system contains four main components: knowledge graphs, text processing, text analysis and intelligent report. First, the system has built a semantic-rich knowledge base using several knowledge graph resources. A novel text processing and analysis framework based on knowledge graphs is developed and implemented. Given a text dataset, the text processing phase will do data cleaning, word segmentation and feature extraction for it. With the extracted features, the text analysis phase allows users to select a text mining task. We have implemented the proposed novel algorithm and several typical algorithms for each task. If users select multiple algorithms for the task, the intelligent report phase will automatically generate comparison results for users. Especially, the intelligent report phase also provides users a paper summary generating function on text mining problems. © Springer International Publishing AG, part of Springer Nature 2018.","","","",""
7,"","wang_breaking_2015-1","Wang, Wei & Shirley, Kenneth","Breaking Bad: Detecting malicious domains using word segmentation","arxiv:1506.04111",,,"","",2015,"","104","http://arxiv.org/abs/1506.04111v1","","","","","","","","","","","","","","","⛔ No DOI found","",""
